Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5,Bottom of the 6th Pirates Batting Ahead 2-0 Giants' Jeff Samardzija facing 3-4-5
b6,2-0,0,---,3(0-2) FFX,,PIT,John Jaso,Jeff Samardzija,-2%,13%,Single to CF (Line Drive to Deep CF)
b6,2-0,0,1--,6(1-2) BSCFFX,O,PIT,Josh Bell,Jeff Samardzija,2%,15%,Flyball: LF (Deep LF)
b6,2-0,1,1--,1(0-0) X,O,PIT,Gregory Polanco,Jeff Samardzija,2%,17%,Foul Popfly: 3B (3B Foul)
b6,2-0,2,1--,3(0-2) CCX,O,PIT,Jordy Mercer,Jeff Samardzija,1%,18%,Flyball: LF (LF-CF)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 2.,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 2.,0 runs 1 hit 0 errors 1 LOB. Giants 0 Pirates 2.
Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5,Top of the 7th Giants Batting Behind 0-2 Pirates' Trevor Williams facing 3-4-5
t7,0-2,0,---,5(3-1) BBCBB,,SFG,Hunter Pence,Trevor Williams,6%,24%,Walk
t7,0-2,0,1--,6(2-2) BBFCFX,,SFG,Buster Posey,Trevor Williams,17%,41%,Double to LF (Line Drive); Pence to 3B
,,,,,,,,,Tony Watson replaces Trevor Williams pitching and batting 9th,Tony Watson replaces Trevor Williams pitching and batting 9th,Tony Watson replaces Trevor Williams pitching and batting 9th
t7,0-2,0,-23,2(0-1) .FX,R,SFG,Brandon Belt,Tony Watson,13%,55%,Single to LF (Line Drive to LF-CF); Pence Scores; Posey to 3B
t7,1-2,0,1-3,3(1-1) SBX,R,SFG,Brandon Crawford,Tony Watson,10%,65%,Single to LF (Ground Ball thru SS-3B Hole); Posey Scores; Belt to 2B
t7,2-2,0,12-,4(1-2) CCB^X,,SFG,Jae-gyun Hwang,Tony Watson,11%,75%,Single to P (Ground Ball to Short 3B Line); Belt to 3B; Crawford to 2B
,,,,,,,,,Challenged by SFG manager (Bruce Bochy): Original call (13/G-.2-3;1-2) overturned as shown.,Challenged by SFG manager (Bruce Bochy): Original call (13/G-.2-3;1-2) overturned as shown.,Challenged by SFG manager (Bruce Bochy): Original call (13/G-.2-3;1-2) overturned as shown.
t7,2-2,0,123,2(1-0) BX,O,SFG,Austin Slater,Tony Watson,-10%,66%,Foul Popfly: 1B (1B Foul)
,,,,,,,,,Kelby Tomlinson pinch hits for Jeff Samardzija (P) batting 9th,Kelby Tomlinson pinch hits for Jeff Samardzija (P) batting 9th,Kelby Tomlinson pinch hits for Jeff Samardzija (P) batting 9th
t7,2-2,1,123,4(1-2) .FFBX,RO,SFG,Kelby Tomlinson,Tony Watson,3%,68%,Flyball: CF/Sacrifice Fly (Deep CF); Belt Scores
t7,3-2,2,12-,2(0-1) C>X,O,SFG,Denard Span,Tony Watson,-5%,64%,Groundout: SS-1B (SS-2B)
,,,,,,,,,3 runs 4 hits 0 errors 2 LOB. Giants 3 Pirates 2.,3 runs 4 hits 0 errors 2 LOB. Giants 3 Pirates 2.,3 runs 4 hits 0 errors 2 LOB. Giants 3 Pirates 2.
Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9,Bottom of the 7th Pirates Batting Behind 2-3 Giants' Cory Gearrin facing 7-8-9
,,,,,,,,,Cory Gearrin replaces Kelby Tomlinson (PH) pitching and batting 9th,Cory Gearrin replaces Kelby Tomlinson (PH) pitching and batting 9th,Cory Gearrin replaces Kelby Tomlinson (PH) pitching and batting 9th
b7,2-3,0,---,3(1-1) .BCX,O,PIT,Max Moroff,Cory Gearrin,5%,69%,Lineout: LF (Short LF)
b7,2-3,1,---,3(1-1) CBX,O,PIT,Chris Stewart,Cory Gearrin,4%,72%,Groundout: SS-1B
,,,,,,,,,David Freese pinch hits for Tony Watson (P) batting 9th,David Freese pinch hits for Tony Watson (P) batting 9th,David Freese pinch hits for Tony Watson (P) batting 9th
b7,2-3,2,---,3(1-1) .CBX,O,PIT,David Freese,Cory Gearrin,2%,75%,Lineout: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Pirates 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Pirates 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Pirates 2.
