Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t4,2-2,1,1-3,3(0-2) .FFX,R,SFG,Mike Morse,Kelvin Herrera,11%,70%,Single to RF (Line Drive); Sandoval Scores; Pence to 3B
t4,3-2,1,1-3,5(1-2) FSFBC,O,SFG,Brandon Crawford,Kelvin Herrera,-7%,63%,Strikeout Looking
t4,3-2,2,1-3,2(0-1) SX,O,SFG,Juan Perez,Kelvin Herrera,-5%,58%,Groundout: SS-1B
,,,,,,,,,1 run 3 hits 0 errors 2 LOB. Giants 3 Royals 2.,1 run 3 hits 0 errors 2 LOB. Giants 3 Royals 2.,1 run 3 hits 0 errors 2 LOB. Giants 3 Royals 2.
Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8,Bottom of the 4th Royals Batting Behind 2-3 Giants' Jeremy Affeldt facing 6-7-8
b4,2-3,0,---,5(2-2) CBFBH,,KCR,Alex Gordon,Jeremy Affeldt,-5%,53%,Hit By Pitch
b4,2-3,0,1--,1(0-0) X,OO,KCR,Salvador Perez,Jeremy Affeldt,10%,63%,Ground Ball Double Play: 2B-SS-1B
b4,2-3,2,---,5(2-2) FBCBX,O,KCR,Mike Moustakas,Jeremy Affeldt,1%,64%,Groundout: 3B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3,Top of the 5th Giants Batting Ahead 3-2 Royals' Kelvin Herrera facing 1-2-3
t5,3-2,0,---,2(1-0) BX,O,SFG,Gregor Blanco,Kelvin Herrera,-2%,62%,Lineout: LF
t5,3-2,1,---,5(0-2) LSFFS,O,SFG,Joe Panik,Kelvin Herrera,-2%,60%,Strikeout Swinging
t5,3-2,2,---,4(1-2) SSBC,O,SFG,Buster Posey,Kelvin Herrera,-1%,59%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.,0 runs 0 hits 0 errors 0 LOB. Giants 3 Royals 2.
Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2,Bottom of the 5th Royals Batting Behind 2-3 Giants' Madison Bumgarner facing 9-1-2
,,,,,,,,,Madison Bumgarner replaces Jeremy Affeldt pitching,Madison Bumgarner replaces Jeremy Affeldt pitching,Madison Bumgarner replaces Jeremy Affeldt pitching
b5,2-3,0,---,3(1-1) .BCX,,KCR,Omar Infante,Madison Bumgarner,-6%,54%,Single to RF (Line Drive)
b5,2-3,0,1--,3(2-0) *B1BX,O,KCR,Alcides Escobar,Madison Bumgarner,3%,56%,Bunt Groundout: P-2B/Sacrifice; Infante to 2B
